timestamp                 , sim_time      , coagulant_pump_speed_before_update, raw_water_turbidity_before_update, coagulant_pump_speed_after_logic, raw_water_turbidity_after_logic, coagulant_pump_speed_after_attack, raw_water_turbidity_after_attack, active_attack
2025-09-12T12:06:04.636548, 0:00:00.000009,                                  0,                                 0,                              100,                              54,                               100,                               54, None
2025-09-12T12:06:09.637320, 0:00:05.000743,                                100,                                54,                              100,                              49,                               100,                               49, None
2025-09-12T12:06:14.637709, 0:00:10.001139,                                100,                                49,                              100,                              50,                               100,                               50, None
2025-09-12T12:06:19.638629, 0:00:15.002056,                                100,                                50,                              100,                              46,                               100,                               46, None
2025-09-12T12:06:24.639562, 0:00:20.002989,                                100,                                46,                              100,                              45,                               100,                               45, None
2025-09-12T12:06:29.640035, 0:00:25.003461,                                100,                                45,                              100,                              52,                               100,                               52, None
2025-09-12T12:06:34.640664, 0:00:30.004092,                                100,                                52,                              100,                              53,                               100,                               53, None
2025-09-12T12:06:39.641058, 0:00:35.004488,                                100,                                53,                              100,                              46,                               100,                               46, None
2025-09-12T12:06:44.641443, 0:00:40.004869,                                100,                                46,                              100,                              45,                               100,                               45, None
2025-09-12T12:06:49.641940, 0:00:45.005361,                                100,                                45,                              100,                              47,                               100,                               47, None
2025-09-12T12:06:54.642811, 0:00:50.006244,                                100,                                47,                              100,                              45,                               100,                               45, None
2025-09-12T12:06:59.643279, 0:00:55.006670,                                100,                                45,                              100,                              49,                               100,                               49, None
2025-09-12T12:07:04.643908, 0:01:00.007336,                                100,                                49,                              100,                              52,                               100,                               52, None
2025-09-12T12:07:09.644459, 0:01:05.007887,                                100,                                52,                              100,                              52,                               100,                               52, None
2025-09-12T12:07:14.644875, 0:01:10.008302,                                100,                                52,                              100,                              48,                               100,                               48, None
2025-09-12T12:07:19.645746, 0:01:15.009169,                                100,                                48,                              100,                              54,                               100,                               54, None
2025-09-12T12:07:24.646610, 0:01:20.010037,                                100,                                54,                              100,                              48,                               100,                               48, None
2025-09-12T12:07:29.647401, 0:01:25.010829,                                100,                                48,                              100,                              51,                               100,                               51, None
2025-09-12T12:07:34.648340, 0:01:30.011764,                                100,                                51,                              100,                              54,                               100,                               54, None
2025-09-12T12:07:39.649209, 0:01:35.012637,                                100,                                54,                              100,                              53,                               100,                               53, None
2025-09-12T12:07:44.649678, 0:01:40.013101,                                100,                                53,                              100,                              48,                               100,                               48, None
2025-09-12T12:07:49.650408, 0:01:45.013849,                                100,                                48,                              100,                              45,                               100,                               45, None
2025-09-12T12:07:54.650675, 0:01:50.014099,                                100,                                45,                              100,                              52,                               100,                               52, None
2025-09-12T12:07:59.651289, 0:01:55.014682,                                100,                                52,                              100,                              46,                               100,                               46, None
2025-09-12T12:08:04.652268, 0:02:00.015717,                                100,                                46,                              100,                              45,                               100,                               45, None
2025-09-12T12:08:09.652501, 0:02:05.015928,                                100,                                45,                              100,                              52,                               100,                               52, None
2025-09-12T12:08:14.652879, 0:02:10.016312,                                100,                                52,                              100,                              46,                               100,                               46, None
2025-09-12T12:08:19.653311, 0:02:15.016734,                                100,                                46,                              100,                              47,                               100,                               47, None
2025-09-12T12:08:24.653687, 0:02:20.017112,                                100,                                47,                              100,                              47,                               100,                               47, None
2025-09-12T12:08:29.654164, 0:02:25.017593,                                100,                                47,                              100,                              54,                               100,                               54, None
2025-09-12T12:08:34.654653, 0:02:30.018089,                                100,                                54,                              100,                              49,                               100,                               49, None
2025-09-12T12:08:39.655192, 0:02:35.018620,                                100,                                49,                              100,                              46,                               100,                               46, None
2025-09-12T12:08:44.655607, 0:02:40.019032,                                100,                                46,                              100,                              51,                               100,                               51, None
2025-09-12T12:08:49.656034, 0:02:45.019468,                                100,                                51,                              100,                              53,                               100,                               53, None
2025-09-12T12:08:54.656334, 0:02:50.019766,                                100,                                53,                              100,                              48,                               100,                               48, None
2025-09-12T12:08:59.657299, 0:02:55.020663,                                100,                                48,                              100,                              53,                               100,                               53, None
2025-09-12T12:09:04.657734, 0:03:00.021161,                                100,                                53,                              100,                              46,                               100,                               46, None
2025-09-12T12:09:09.658148, 0:03:05.021576,                                100,                                46,                              100,                              53,                               100,                               53, None
2025-09-12T12:09:14.658535, 0:03:10.021962,                                100,                                53,                              100,                              47,                               100,                               47, None
2025-09-12T12:09:19.658947, 0:03:15.022380,                                100,                                47,                              100,                              45,                               100,                               45, None
2025-09-12T12:09:24.659773, 0:03:20.023200,                                100,                                45,                              100,                              53,                               100,                               53, None
2025-09-12T12:09:29.660624, 0:03:25.024051,                                100,                                53,                              100,                              54,                               100,                               54, None
2025-09-12T12:09:34.661062, 0:03:30.024490,                                100,                                54,                              100,                              46,                               100,                               46, None
2025-09-12T12:09:39.662041, 0:03:35.025468,                                100,                                46,                              100,                              52,                               100,                               52, None
2025-09-12T12:09:44.662980, 0:03:40.026407,                                100,                                52,                              100,                              52,                               100,                               52, None
