active_attack                        , chlorine_level_after_attack, chlorine_level_after_logic, chlorine_level_before_update, coagulant_pump_speed_after_attack, coagulant_pump_speed_after_logic, coagulant_pump_speed_before_update, dest_ip  , filter_backwash_pump_status_after_attack, filter_backwash_pump_status_after_logic, filter_backwash_pump_status_before_update, filter_outlet_turbidity_after_attack, filter_outlet_turbidity_after_logic, filter_outlet_turbidity_before_update, flocculator_speed_after_attack, flocculator_speed_after_logic, flocculator_speed_before_update, intake_pump_status_after_attack, intake_pump_status_after_logic, intake_pump_status_before_update, modbus_function                                                        , packet_size, raw_water_flow_rate_after_attack, raw_water_flow_rate_after_logic, raw_water_flow_rate_before_update, raw_water_turbidity_after_attack, raw_water_turbidity_after_logic, raw_water_turbidity_before_update, read_registers                                              , sedimentation_turbidity_after_attack, sedimentation_turbidity_after_logic, sedimentation_turbidity_before_update, sim_time      , src_ip      , timestamp                 , written_registers
None                                 ,          2.2480723238184046,         2.2480723238184046,           1.5               ,                               100,                              100,                                  0, localhost,                                        0,                                       0,                                         0,                                    2,                                   2,                                     0,                            100,                           100,                             100,                               1,                              1,                                1, "PLC Logic Cycle (Read Sensors, Write Actuators)"                      ,          24,                             5000,                            5000,                              5000,                               50,                              50,                                 0, "{'raw_water_turbidity': 50, 'filter_outlet_turbidity': 0}" ,                                   27,                                  27,                                     0, 0:00:00.000013, 192.168.1.20, 2025-10-14T14:10:43.631262, {'coagulant_pump_speed': 100}
None                                 ,          2.2449365144755635,         2.2449365144755635,           2.2480723238184046,                               100,                              100,                                100, localhost,                                        0,                                       0,                                         0,                                    2,                                   2,                                     2,                            100,                           100,                             100,                               1,                              1,                                1, "PLC Logic Cycle (Read Sensors, Write Actuators)"                      ,          20,                             5000,                            5000,                              5000,                               46,                              46,                                50, "{'raw_water_turbidity': 46, 'filter_outlet_turbidity': 2}" ,                                   26,                                  26,                                    27, 0:00:05.000285, 192.168.1.20, 2025-10-14T14:10:48.631560, {}
None                                 ,          2.198178066152204 ,         2.198178066152204 ,           2.2449365144755635,                               100,                              100,                                100, localhost,                                        0,                                       0,                                         0,                                    3,                                   3,                                     2,                            100,                           100,                             100,                               1,                              1,                                1, "PLC Logic Cycle (Read Sensors, Write Actuators)"                      ,          20,                             5000,                            5000,                              5000,                               53,                              53,                                46, "{'raw_water_turbidity': 53, 'filter_outlet_turbidity': 2}" ,                                   28,                                  28,                                    26, 0:00:10.000678, 192.168.1.20, 2025-10-14T14:10:53.631972, {}
None                                 ,          2.2227503869256817,         2.2227503869256817,           2.198178066152204 ,                               100,                              100,                                100, localhost,                                        0,                                       0,                                         0,                                    2,                                   2,                                     3,                            100,                           100,                             100,                               1,                              1,                                1, "PLC Logic Cycle (Read Sensors, Write Actuators)"                      ,          20,                             5000,                            5000,                              5000,                               47,                              47,                                53, "{'raw_water_turbidity': 47, 'filter_outlet_turbidity': 3}" ,                                   25,                                  25,                                    28, 0:00:15.001058, 192.168.1.20, 2025-10-14T14:10:58.632328, {}
None                                 ,          2.2332284560117124,         2.2332284560117124,           2.2227503869256817,                               100,                              100,                                100, localhost,                                        0,                                       0,                                         0,                                    2,                                   2,                                     2,                            100,                           100,                             100,                               1,                              1,                                1, "PLC Logic Cycle (Read Sensors, Write Actuators)"                      ,          20,                             5000,                            5000,                              5000,                               46,                              46,                                47, "{'raw_water_turbidity': 46, 'filter_outlet_turbidity': 2}" ,                                   26,                                  26,                                    25, 0:00:20.001394, 192.168.1.20, 2025-10-14T14:11:03.632669, {}
None                                 ,          2.2049873391628387,         2.2049873391628387,           2.2332284560117124,                               100,                              100,                                100, localhost,                                        0,                                       0,                                         0,                                    2,                                   2,                                     2,                            100,                           100,                             100,                               1,                              1,                                1, "PLC Logic Cycle (Read Sensors, Write Actuators)"                      ,          20,                             5000,                            5000,                              5000,                               53,                              53,                                46, "{'raw_water_turbidity': 53, 'filter_outlet_turbidity': 2}" ,                                   29,                                  29,                                    26, 0:00:25.001795, 192.168.1.20, 2025-10-14T14:11:08.633069, {}
None                                 ,          2.1967313750008812,         2.1967313750008812,           2.2049873391628387,                               100,                              100,                                100, localhost,                                        0,                                       0,                                         0,                                    3,                                   3,                                     2,                            100,                           100,                             100,                               1,                              1,                                1, "PLC Logic Cycle (Read Sensors, Write Actuators)"                      ,          20,                             5000,                            5000,                              5000,                               53,                              53,                                53, "{'raw_water_turbidity': 53, 'filter_outlet_turbidity': 2}" ,                                   29,                                  29,                                    29, 0:00:30.002168, 192.168.1.20, 2025-10-14T14:11:13.633439, {}
None                                 ,          2.241371285324104 ,         2.241371285324104 ,           2.1967313750008812,                               100,                              100,                                100, localhost,                                        0,                                       0,                                         0,                                    2,                                   2,                                     3,                            100,                           100,                             100,                               1,                              1,                                1, "PLC Logic Cycle (Read Sensors, Write Actuators)"                      ,          20,                             5000,                            5000,                              5000,                               45,                              45,                                53, "{'raw_water_turbidity': 45, 'filter_outlet_turbidity': 3}" ,                                   23,                                  23,                                    29, 0:00:35.002516, 192.168.1.20, 2025-10-14T14:11:18.633790, {}
Stealthy Data Manipulation (Offset)  ,          2.2297743789136613,         2.2297743789136613,           2.241371285324104 ,                               100,                              100,                                100, localhost,                                        0,                                       0,                                         0,                                    2,                                   2,                                     2,                            100,                           100,                             100,                               1,                              1,                                1, ATTACK: Stealthy Data Manipulation (Offset) (offset)                   ,          16,                             5000,                            5000,                              5000,                               21,                              46,                                45, "{'raw_water_turbidity': 46, 'filter_outlet_turbidity': 2}" ,                                   25,                                  25,                                    23, 0:00:40.002900, 192.168.1.20, 2025-10-14T14:11:23.634172, {'raw_water_turbidity': 21}
Stealthy Data Manipulation (Offset)  ,          2.2285227791169437,         2.2285227791169437,           2.2297743789136613,                               100,                              100,                                100, localhost,                                        0,                                       0,                                         0,                                    2,                                   2,                                     2,                            100,                           100,                             100,                               1,                              1,                                1, ATTACK: Stealthy Data Manipulation (Offset) (offset)                   ,          16,                             5000,                            5000,                              5000,                               24,                              49,                                21, "{'raw_water_turbidity': 49, 'filter_outlet_turbidity': 2}" ,                                   28,                                  28,                                    25, 0:00:45.003604, 192.168.1.20, 2025-10-14T14:11:28.634876, {'raw_water_turbidity': 24}
Stealthy Data Manipulation (Offset)  ,          2.1960646446141583,         2.1960646446141583,           2.2285227791169437,                               100,                              100,                                100, localhost,                                        0,                                       0,                                         0,                                    3,                                   3,                                     2,                            100,                           100,                             100,                               1,                              1,                                1, ATTACK: Stealthy Data Manipulation (Offset) (offset)                   ,          16,                             5000,                            5000,                              5000,                               25,                              50,                                24, "{'raw_water_turbidity': 50, 'filter_outlet_turbidity': 2}" ,                                   27,                                  27,                                    28, 0:00:50.004020, 192.168.1.20, 2025-10-14T14:11:33.635292, {'raw_water_turbidity': 25}
Stealthy Data Manipulation (Offset)  ,          2.2303881401446772,         2.2303881401446772,           2.1960646446141583,                               100,                              100,                                100, localhost,                                        0,                                       0,                                         0,                                    2,                                   2,                                     3,                            100,                           100,                             100,                               1,                              1,                                1, ATTACK: Stealthy Data Manipulation (Offset) (offset)                   ,          16,                             5000,                            5000,                              5000,                               26,                              51,                                25, "{'raw_water_turbidity': 51, 'filter_outlet_turbidity': 3}" ,                                   28,                                  28,                                    27, 0:00:55.004389, 192.168.1.20, 2025-10-14T14:11:38.635660, {'raw_water_turbidity': 26}
Stealthy Data Manipulation (Offset)  ,          2.2457117187455338,         2.2457117187455338,           2.2303881401446772,                               100,                              100,                                100, localhost,                                        0,                                       0,                                         0,                                    2,                                   2,                                     2,                            100,                           100,                             100,                               1,                              1,                                1, ATTACK: Stealthy Data Manipulation (Offset) (offset)                   ,          16,                             5000,                            5000,                              5000,                               20,                              45,                                26, "{'raw_water_turbidity': 45, 'filter_outlet_turbidity': 2}" ,                                   24,                                  24,                                    28, 0:01:00.004741, 192.168.1.20, 2025-10-14T14:11:43.636013, {'raw_water_turbidity': 20}
Stealthy Data Manipulation (Offset)  ,          2.274185804398638 ,         2.274185804398638 ,           2.2457117187455338,                               100,                              100,                                100, localhost,                                        0,                                       0,                                         0,                                    2,                                   2,                                     2,                            100,                           100,                             100,                               1,                              1,                                1, ATTACK: Stealthy Data Manipulation (Offset) (offset)                   ,          16,                             5000,                            5000,                              5000,                               20,                              45,                                20, "{'raw_water_turbidity': 45, 'filter_outlet_turbidity': 2}" ,                                   24,                                  24,                                    24, 0:01:05.005112, 192.168.1.20, 2025-10-14T14:11:48.636382, {'raw_water_turbidity': 20}
