Test_Datapoint_Num, Original_Data_Index, Predicted_Attack_Type                , Prediction_Confidence, Ground_Truth_Attack                  , Is_True_Attack
              1081,               16191, False Data Injection (High Value)    , 100.00%              , False Data Injection (High Value)    ,              1
              1082,               16192, False Data Injection (High Value)    , 99.50%               , False Data Injection (High Value)    ,              1
              1083,               16193, False Data Injection (High Value)    , 99.50%               , False Data Injection (High Value)    ,              1
              1084,               16194, False Data Injection (High Value)    , 99.50%               , False Data Injection (High Value)    ,              1
              1085,               16195, False Data Injection (High Value)    , 100.00%              , False Data Injection (High Value)    ,              1
              1086,               16196, False Data Injection (High Value)    , 100.00%              , False Data Injection (High Value)    ,              1
              1087,               16197, False Data Injection (High Value)    , 100.00%              , False Data Injection (High Value)    ,              1
              1088,               16198, False Data Injection (High Value)    , 100.00%              , False Data Injection (High Value)    ,              1
              1089,               16199, False Data Injection (High Value)    , 100.00%              , False Data Injection (High Value)    ,              1
              1090,               16200, False Data Injection (High Value)    , 100.00%              , False Data Injection (High Value)    ,              1
              1091,               16201, False Data Injection (High Value)    , 100.00%              , False Data Injection (High Value)    ,              1
              1092,               16202, False Data Injection (High Value)    , 100.00%              , False Data Injection (High Value)    ,              1
              1093,               16203, False Data Injection (High Value)    , 100.00%              , False Data Injection (High Value)    ,              1
              1094,               16204, False Data Injection (High Value)    , 100.00%              , False Data Injection (High Value)    ,              1
              1095,               16205, False Data Injection (High Value)    , 100.00%              , False Data Injection (High Value)    ,              1
              1096,               16206, False Data Injection (High Value)    , 100.00%              , False Data Injection (High Value)    ,              1
              1097,               16207, False Data Injection (High Value)    , 100.00%              , False Data Injection (High Value)    ,              1
              1098,               16208, False Data Injection (High Value)    , 100.00%              , False Data Injection (High Value)    ,              1
              1099,               16209, False Data Injection (High Value)    , 100.00%              , False Data Injection (High Value)    ,              1
              1100,               16210, False Data Injection (High Value)    , 100.00%              , False Data Injection (High Value)    ,              1
              1101,               16211, False Data Injection (High Value)    , 100.00%              , False Data Injection (High Value)    ,              1
              1102,               16212, False Data Injection (High Value)    , 100.00%              , False Data Injection (High Value)    ,              1
              1103,               16213, False Data Injection (High Value)    , 100.00%              , False Data Injection (High Value)    ,              1
              1104,               16214, False Data Injection (High Value)    , 100.00%              , False Data Injection (High Value)    ,              1
              1105,               16215, False Data Injection (High Value)    , 98.74%               , False Data Injection (High Value)    ,              1
              1106,               16216, False Data Injection (High Value)    , 99.64%               , False Data Injection (High Value)    ,              1
              1107,               16217, False Data Injection (High Value)    , 99.64%               , False Data Injection (High Value)    ,              1
              1108,               16218, False Data Injection (High Value)    , 100.00%              , False Data Injection (High Value)    ,              1
              1109,               16219, False Data Injection (High Value)    , 100.00%              , False Data Injection (High Value)    ,              1
              1110,               16220, False Data Injection (High Value)    , 100.00%              , False Data Injection (High Value)    ,              1
              1111,               16221, False Data Injection (High Value)    , 100.00%              , False Data Injection (High Value)    ,              1
              1112,               16222, False Data Injection (High Value)    , 100.00%              , False Data Injection (High Value)    ,              1
              1113,               16223, False Data Injection (High Value)    , 100.00%              , False Data Injection (High Value)    ,              1
              1114,               16224, False Data Injection (High Value)    , 100.00%              , False Data Injection (High Value)    ,              1
              1115,               16225, False Data Injection (High Value)    , 100.00%              , False Data Injection (High Value)    ,              1
              1116,               16226, False Data Injection (High Value)    , 100.00%              , False Data Injection (High Value)    ,              1
              1117,               16227, False Data Injection (High Value)    , 100.00%              , False Data Injection (High Value)    ,              1
              1118,               16228, False Data Injection (High Value)    , 100.00%              , False Data Injection (High Value)    ,              1
              1119,               16229, False Data Injection (High Value)    , 100.00%              , False Data Injection (High Value)    ,              1
              1120,               16230, False Data Injection (High Value)    , 100.00%              , False Data Injection (High Value)    ,              1
              1121,               16231, False Data Injection (High Value)    , 100.00%              , False Data Injection (High Value)    ,              1
              1122,               16232, False Data Injection (High Value)    , 100.00%              , False Data Injection (High Value)    ,              1
              1123,               16233, False Data Injection (High Value)    , 100.00%              , False Data Injection (High Value)    ,              1
              1124,               16234, False Data Injection (High Value)    , 100.00%              , False Data Injection (High Value)    ,              1
              1125,               16235, False Data Injection (High Value)    , 100.00%              , False Data Injection (High Value)    ,              1
              1126,               16236, False Data Injection (High Value)    , 100.00%              , False Data Injection (High Value)    ,              1
              1127,               16237, False Data Injection (High Value)    , 100.00%              , False Data Injection (High Value)    ,              1
              1128,               16238, False Data Injection (High Value)    , 100.00%              , False Data Injection (High Value)    ,              1
              1129,               16239, False Data Injection (High Value)    , 100.00%              , False Data Injection (High Value)    ,              1
              1130,               16240, False Data Injection (High Value)    , 100.00%              , False Data Injection (High Value)    ,              1
              1131,               16241, False Data Injection (High Value)    , 100.00%              , False Data Injection (High Value)    ,              1
              1132,               16242, False Data Injection (High Value)    , 100.00%              , False Data Injection (High Value)    ,              1
              1133,               16243, False Data Injection (High Value)    , 100.00%              , False Data Injection (High Value)    ,              1
              1134,               16244, False Data Injection (High Value)    , 100.00%              , False Data Injection (High Value)    ,              1
              1135,               16245, False Data Injection (High Value)    , 100.00%              , False Data Injection (High Value)    ,              1
              1136,               16246, False Data Injection (High Value)    , 100.00%              , False Data Injection (High Value)    ,              1
              1137,               16247, False Data Injection (High Value)    , 100.00%              , False Data Injection (High Value)    ,              1
              1138,               16248, False Data Injection (High Value)    , 100.00%              , False Data Injection (High Value)    ,              1
              1139,               16249, False Data Injection (High Value)    , 100.00%              , False Data Injection (High Value)    ,              1
              1140,               16250, False Data Injection (High Value)    , 100.00%              , False Data Injection (High Value)    ,              1
              1141,               16251, False Data Injection (High Value)    , 100.00%              , False Data Injection (High Value)    ,              1
              1142,               16252, False Data Injection (High Value)    , 100.00%              , False Data Injection (High Value)    ,              1
              1143,               16253, False Data Injection (High Value)    , 100.00%              , False Data Injection (High Value)    ,              1
              1144,               16254, False Data Injection (High Value)    , 100.00%              , False Data Injection (High Value)    ,              1
              1145,               16255, False Data Injection (High Value)    , 100.00%              , False Data Injection (High Value)    ,              1
              1146,               16256, False Data Injection (High Value)    , 100.00%              , False Data Injection (High Value)    ,              1
              1147,               16257, False Data Injection (High Value)    , 100.00%              , False Data Injection (High Value)    ,              1
              1148,               16258, False Data Injection (High Value)    , 100.00%              , False Data Injection (High Value)    ,              1
              1149,               16259, False Data Injection (High Value)    , 100.00%              , False Data Injection (High Value)    ,              1
              1150,               16260, False Data Injection (High Value)    , 100.00%              , False Data Injection (High Value)    ,              1
              1151,               16261, False Data Injection (High Value)    , 100.00%              , False Data Injection (High Value)    ,              1
              1152,               16262, False Data Injection (High Value)    , 100.00%              , False Data Injection (High Value)    ,              1
              1153,               16263, False Data Injection (High Value)    , 100.00%              , False Data Injection (High Value)    ,              1
              1154,               16264, False Data Injection (High Value)    , 100.00%              , False Data Injection (High Value)    ,              1
              1155,               16265, False Data Injection (High Value)    , 100.00%              , False Data Injection (High Value)    ,              1
              1156,               16266, False Data Injection (High Value)    , 100.00%              , False Data Injection (High Value)    ,              1
              1157,               16267, False Data Injection (High Value)    , 100.00%              , False Data Injection (High Value)    ,              1
              1158,               16268, False Data Injection (High Value)    , 100.00%              , False Data Injection (High Value)    ,              1
              1159,               16269, False Data Injection (High Value)    , 100.00%              , False Data Injection (High Value)    ,              1
              1160,               16270, False Data Injection (High Value)    , 100.00%              , False Data Injection (High Value)    ,              1
              1161,               16271, False Data Injection (High Value)    , 100.00%              , False Data Injection (High Value)    ,              1
              1162,               16272, False Data Injection (High Value)    , 100.00%              , False Data Injection (High Value)    ,              1
              1163,               16273, False Data Injection (High Value)    , 100.00%              , False Data Injection (High Value)    ,              1
              1164,               16274, False Data Injection (High Value)    , 100.00%              , False Data Injection (High Value)    ,              1
              1165,               16275, False Data Injection (High Value)    , 100.00%              , False Data Injection (High Value)    ,              1
              1166,               16276, False Data Injection (High Value)    , 100.00%              , False Data Injection (High Value)    ,              1
              1167,               16277, False Data Injection (High Value)    , 100.00%              , False Data Injection (High Value)    ,              1
              1168,               16278, False Data Injection (High Value)    , 100.00%              , False Data Injection (High Value)    ,              1
              1169,               16279, False Data Injection (High Value)    , 100.00%              , False Data Injection (High Value)    ,              1
              1170,               16280, False Data Injection (High Value)    , 100.00%              , False Data Injection (High Value)    ,              1
              1171,               16281, False Data Injection (High Value)    , 100.00%              , False Data Injection (High Value)    ,              1
              1172,               16282, False Data Injection (High Value)    , 100.00%              , False Data Injection (High Value)    ,              1
              1173,               16283, False Data Injection (High Value)    , 100.00%              , False Data Injection (High Value)    ,              1
              1174,               16284, False Data Injection (High Value)    , 100.00%              , False Data Injection (High Value)    ,              1
              1175,               16285, False Data Injection (High Value)    , 100.00%              , False Data Injection (High Value)    ,              1
              1176,               16286, False Data Injection (High Value)    , 100.00%              , False Data Injection (High Value)    ,              1
              1177,               16287, False Data Injection (High Value)    , 100.00%              , False Data Injection (High Value)    ,              1
