Timestamp_Index,Original_CSV_Index,Predicted_Type,Confidence,Actual_Type
1080,16191,False Data Injection (High Value),1.0,False Data Injection (High Value)    
1081,16192,False Data Injection (High Value),1.0,False Data Injection (High Value)    
1082,16193,False Data Injection (High Value),1.0,False Data Injection (High Value)    
1083,16194,False Data Injection (High Value),1.0,False Data Injection (High Value)    
1084,16195,False Data Injection (High Value),1.0,False Data Injection (High Value)    
1085,16196,False Data Injection (High Value),1.0,False Data Injection (High Value)    
1086,16197,False Data Injection (High Value),1.0,False Data Injection (High Value)    
1087,16198,False Data Injection (High Value),1.0,False Data Injection (High Value)    
1088,16199,False Data Injection (High Value),1.0,False Data Injection (High Value)    
1089,16200,False Data Injection (High Value),1.0,False Data Injection (High Value)    
1090,16201,False Data Injection (High Value),1.0,False Data Injection (High Value)    
1091,16202,False Data Injection (High Value),1.0,False Data Injection (High Value)    
1092,16203,False Data Injection (High Value),1.0,False Data Injection (High Value)    
1093,16204,False Data Injection (High Value),1.0,False Data Injection (High Value)    
1094,16205,False Data Injection (High Value),1.0,False Data Injection (High Value)    
1095,16206,False Data Injection (High Value),1.0,False Data Injection (High Value)    
1096,16207,False Data Injection (High Value),1.0,False Data Injection (High Value)    
1097,16208,False Data Injection (High Value),1.0,False Data Injection (High Value)    
1098,16209,False Data Injection (High Value),1.0,False Data Injection (High Value)    
1099,16210,False Data Injection (High Value),1.0,False Data Injection (High Value)    
1100,16211,False Data Injection (High Value),1.0,False Data Injection (High Value)    
1101,16212,False Data Injection (High Value),1.0,False Data Injection (High Value)    
1102,16213,False Data Injection (High Value),1.0,False Data Injection (High Value)    
1103,16214,False Data Injection (High Value),1.0,False Data Injection (High Value)    
1104,16215,False Data Injection (High Value),1.0,False Data Injection (High Value)    
1105,16216,False Data Injection (High Value),1.0,False Data Injection (High Value)    
1106,16217,False Data Injection (High Value),1.0,False Data Injection (High Value)    
1107,16218,False Data Injection (High Value),1.0,False Data Injection (High Value)    
1108,16219,False Data Injection (High Value),1.0,False Data Injection (High Value)    
1109,16220,False Data Injection (High Value),1.0,False Data Injection (High Value)    
1110,16221,False Data Injection (High Value),1.0,False Data Injection (High Value)    
1111,16222,False Data Injection (High Value),0.98,False Data Injection (High Value)    
1112,16223,False Data Injection (High Value),1.0,False Data Injection (High Value)    
1113,16224,False Data Injection (High Value),1.0,False Data Injection (High Value)    
1114,16225,False Data Injection (High Value),1.0,False Data Injection (High Value)    
1115,16226,False Data Injection (High Value),1.0,False Data Injection (High Value)    
1116,16227,False Data Injection (High Value),1.0,False Data Injection (High Value)    
1117,16228,False Data Injection (High Value),1.0,False Data Injection (High Value)    
